rank,name,slug,active_installs,rating_pct,rating_5star,editor_support,last_updated,requires_wp,tested_up_to,homepage,github_url,github_repo_type,wp_url,total_known_vulns,unpatched_vulns,max_cvss,max_cvss_severity,latest_vuln_date,top_cwes,tags
1,Elementor Website Builder – More Than Just a Page Builder,elementor,10000000,90,4.5,Blocks+Classic,2026-03-25 6:41pm GMT,6.6,6.9.4,https://elementor.com/?utm_source=wp-plugins&utm_campaign=plugin-uri&utm_medium=wp-dash,https://github.com/elementor/elementor,official,https://wordpress.org/plugins/elementor/,56,1,9.9,Critical,2025-12-16,CWE-200; CWE-22; CWE-269; CWE-287; CWE-434; CWE-79; CWE-80; CWE-862; CWE-89,"drag-and-drop, editor, elementor, landing page, page builder"
2,Yoast SEO – Advanced SEO with real-time guidance and built-in AI,wordpress-seo,10000000,96,4.8,Blocks+Classic,2026-03-17 9:35am GMT,6.8,6.9.4,https://yoa.st/1uj,https://github.com/Yoast/wordpress-seo,official,https://wordpress.org/plugins/wordpress-seo/,30,0,6.4,Medium,2024-05-16,CWE-200; CWE-352; CWE-362; CWE-79; CWE-89,"Content analysis, Readability, schema, seo, xml sitemap"
3,Contact Form 7,contact-form-7,10000000,80,4.0,Editor-agnostic,2026-02-08 9:32am GMT,6.7,6.9.4,https://contactform7.com/,https://github.com/takayukister/contact-form-7,official,https://wordpress.org/plugins/contact-form-7/,12,0,6.6,Medium,2025-04-16,CWE-434; CWE-601; CWE-79,"contact form, schema-woven validation"
4,Classic Editor,classic-editor,9000000,98,4.9,Classic-only,2025-12-08 10:40am GMT,4.9,6.9.4,https://wordpress.org/plugins/classic-editor/,https://github.com/WordPress/classic-editor,official,https://wordpress.org/plugins/classic-editor/,0,0,,,,,"block-editor, classic editor, editor, gutenberg"
5,LiteSpeed Cache,litespeed-cache,7000000,96,4.8,Editor-agnostic,2026-03-17 6:19pm GMT,5.3,6.9.4,https://www.litespeedtech.com/products/cache-plugins/wordpress-acceleration,https://github.com/litespeedtech/lscache_wp,official,https://wordpress.org/plugins/litespeed-cache/,19,0,9.8,Critical,2025-10-29,CWE-23; CWE-266; CWE-352; CWE-522; CWE-79; CWE-862; CWE-918,"Optimize, caching, pagespeed, performance, seo"
6,WooCommerce,woocommerce,7000000,90,4.5,Blocks+Classic,2026-03-12 4:10pm GMT,6.8,6.9.4,https://woocommerce.com/,https://github.com/woocommerce/woocommerce,official,https://wordpress.org/plugins/woocommerce/,95,2,6.5,Medium,2025-12-22,CWE-116; CWE-22; CWE-284; CWE-352; CWE-639; CWE-74; CWE-79; CWE-80; CWE-863; CWE-89,"ecommerce, online store, sell online, shop, shopping cart"
7,Akismet Anti-spam: Spam Protection,akismet,6000000,94,4.7,Editor-agnostic,2025-11-12 4:31pm GMT,5.8,6.9.4,https://akismet.com/,https://github.com/Automattic/akismet,official,https://wordpress.org/plugins/akismet/,4,0,,,2019-08-28,CWE-79,"anti-spam, antispam, comments, contact form, spam"
8,"WPForms – Easy Form Builder for WordPress – Contact Forms, Payment Forms, Surveys, & More",wpforms-lite,6000000,96,4.8,Blocks+Classic,2026-03-19 12:20pm GMT,5.5,6.9.4,https://wpforms.com,https://github.com/awesomemotive/wpforms-lite,official,https://wordpress.org/plugins/wpforms-lite/,23,1,8.5,High,2026-01-13,CWE-352; CWE-472; CWE-79; CWE-862,"contact form, contact form plugin, custom form, form builder, forms"
9,"Site Kit by Google – Analytics, Search Console, AdSense, Speed",google-site-kit,5000000,84,4.2,Blocks+Classic,2026-03-23 9:44pm GMT,5.2,6.9.4,https://sitekit.withgoogle.com,https://github.com/google/site-kit-wp,official,https://wordpress.org/plugins/google-site-kit/,4,0,4.3,Medium,2023-07-07,CWE-252,"Search Console, adsense, analytics, google, pagespeed insights"
10,All-in-One WP Migration and Backup,all-in-one-wp-migration,5000000,90,4.5,Editor-agnostic,2026-03-16 12:02pm GMT,3.3,6.9.4,https://servmask.com/,https://github.com/wp-plugins/all-in-one-wp-migration,mirror,https://wordpress.org/plugins/all-in-one-wp-migration/,19,0,7.5,High,2025-03-13,CWE-200; CWE-22; CWE-434; CWE-502; CWE-79; CWE-94,"backup, clone, export-import, migrate, move wordpress"
11,"Wordfence Security – Firewall, Malware Scan, and Login Security",wordfence,5000000,94,4.7,Editor-agnostic,2025-12-20 9:06pm GMT,4.7,6.9.4,https://www.wordfence.com/,https://github.com/wp-plugins/wordfence,mirror,https://wordpress.org/plugins/wordfence/,34,0,4.4,Medium,2022-09-23,CWE-79,"2FA, firewall, malware, scanner, security"
12,WP Mail SMTP by WPForms – The Most Popular SMTP and Email Log Plugin,wp-mail-smtp,4000000,96,4.8,Editor-agnostic,2025-11-26 3:18pm GMT,5.5,6.9.4,https://wpmailsmtp.com/,https://github.com/awesomemotive/wp-mail-smtp,official,https://wordpress.org/plugins/wp-mail-smtp/,4,0,2.7,Low,2024-07-22,CWE-257,"email, email logs, gmail, outlook, smtp"
13,Yoast Duplicate Post,duplicate-post,4000000,94,4.7,Editor-agnostic,2026-03-09 10:34am GMT,6.8,6.9.4,https://yoast.com/wordpress/plugins/duplicate-post/,https://github.com/Yoast/duplicate-post,official,https://wordpress.org/plugins/duplicate-post/,8,1,6.4,Medium,2026-02-11,CWE-79; CWE-89,"clone, copy, duplicate post"
14,Really Simple Security – Simple and Performant Security (formerly Really Simple SSL),really-simple-ssl,3000000,98,4.9,Editor-agnostic,2026-02-26 10:57am GMT,6.6,6.9.4,https://really-simple-ssl.com,https://github.com/Really-Simple-Plugins/really-simple-ssl,official,https://wordpress.org/plugins/really-simple-ssl/,3,0,9.8,Critical,2025-01-24,CWE-288; CWE-352; CWE-918,"2FA, https, security, two factor, vulnerabilities"
15,Rank Math SEO – AI SEO Tools to Dominate SEO Rankings,seo-by-rank-math,3000000,96,4.8,Blocks+Classic,2026-03-19 10:39am GMT,6.3,6.9.4,https://rankmath.com/,https://github.com/rankmath/seo-by-rank-math,official,https://wordpress.org/plugins/seo-by-rank-math/,26,2,7.6,High,2025-10-31,CWE-20; CWE-22; CWE-284; CWE-502; CWE-601; CWE-79; CWE-862; CWE-918; CWE-94,"google search console, redirection, schema, seo, wordpress seo"
16,Duplicate Page,duplicate-page,3000000,96,4.8,Editor-agnostic,2026-03-19 10:33am GMT,3.4,6.9.4,https://duplicatepro.com/,https://github.com/RoJackal/duplicate-page,official,https://wordpress.org/plugins/duplicate-page/,5,0,,,2021-10-11,CWE-79,"Page Duplicate, Post duplicate, duplicate custom posts, duplicate page, duplicate post"
17,UpdraftPlus: WP Backup & Migration Plugin,updraftplus,3000000,96,4.8,Editor-agnostic,2026-03-25 10:43am GMT,3.2,7.0,https://updraftplus.com,https://github.com/DavidAnderson684/updraftplus-aws-sdk,official,https://wordpress.org/plugins/updraftplus/,26,0,8.8,High,2025-01-15,CWE-352; CWE-502; CWE-79; CWE-863; CWE-918; CWE-94,"backup, cloud backup, database backup, migration, wordpress backup"
18,"Jetpack – WP Security, Backup, Speed, & Growth",jetpack,3000000,76,3.8,Blocks+Classic,2026-03-03 9:54am GMT,6.8,6.9.4,https://jetpack.com,https://github.com/Automattic/jetpack,official,https://wordpress.org/plugins/jetpack/,45,1,6.5,Medium,2026-01-13,CWE-1021; CWE-20; CWE-639; CWE-79; CWE-862; CWE-863; CWE-89,"backup, malware, performance, scan, security"
19,All in One SEO – Powerful SEO Plugin to Boost SEO Rankings & Increase Traffic,all-in-one-seo-pack,3000000,94,4.7,Blocks+Classic,2026-03-09 6:19pm GMT,5.7,6.9.4,https://aioseo.com/,https://github.com/awesomemotive/all-in-one-seo-pack,official,https://wordpress.org/plugins/all-in-one-seo-pack/,36,2,6.4,Medium,2026-01-16,CWE-200; CWE-287; CWE-352; CWE-502; CWE-79; CWE-80; CWE-862; CWE-89,"google search console, meta description, schema, seo, xml sitemap"
20,Hostinger Tools,hostinger,3000000,60,3.0,Editor-agnostic,2026-03-20 8:35am GMT,5.5,6.9.4,https://hostinger.com,,,https://wordpress.org/plugins/hostinger/,1,0,7.3,High,2024-01-11,CWE-862,"hostinger, https, maintenance, security, tools"
21,WPCode – Insert Headers and Footers + Custom Code Snippets – WordPress Code Manager,insert-headers-and-footers,3000000,98,4.9,Editor-agnostic,2026-03-17 12:35pm GMT,5.0,6.9.4,https://www.wpcode.com/,https://github.com/awesomemotive/insert-headers-and-footers,official,https://wordpress.org/plugins/insert-headers-and-footers/,3,0,,,2023-08-07,CWE-352; CWE-79; CWE-863,"code, code-snippets, css, header, php"
22,WordPress Importer,wordpress-importer,2000000,62,3.1,Editor-agnostic,2025-11-05 10:53pm GMT,5.2,6.8.5,https://wordpress.org/plugins/wordpress-importer/,https://github.com/WordPress/wordpress-importer,official,https://wordpress.org/plugins/wordpress-importer/,1,0,7.2,High,2025-03-26,CWE-502,importer
23,Redirection,redirection,2000000,88,4.4,Editor-agnostic,2026-03-01 7:42am GMT,6.5,6.9.4,https://redirection.me/,https://github.com/johngodley/redirection,official,https://wordpress.org/plugins/redirection/,12,0,,,2019-08-28,CWE-601; CWE-79,"301, 404, Apache, htaccess, redirect"
24,MonsterInsights – Google Analytics Dashboard for WordPress (Website Stats Made Easy),google-analytics-for-wordpress,2000000,92,4.6,Editor-agnostic,2026-03-25 3:27pm GMT,5.6.0,6.9.4,https://www.monsterinsights.com/?utm_source=liteplugin&utm_medium=pluginheader&utm_campaign=pluginurl&utm_content=7%2E0%2E0,https://github.com/envato/google-analytics-for-wordpress,official,https://wordpress.org/plugins/google-analytics-for-wordpress/,16,0,6.5,Medium,2024-04-25,CWE-79; CWE-862,"WordPress analytics, analytics, google analytics, google analytics dashboard, website analytics"
25,Classic Widgets,classic-widgets,2000000,98,4.9,Classic-only,2025-12-08 10:52am GMT,4.9,6.9.4,https://wordpress.org/plugins/classic-widgets/,https://github.com/WordPress/classic-widgets,official,https://wordpress.org/plugins/classic-widgets/,0,0,,,,,"classic widgets, disable, disable gutenberg, editor, gutenberg"
26,Ultimate Addons for Elementor,header-footer-elementor,2000000,98,4.9,Editor-agnostic,2026-03-11 9:13am GMT,5.0,6.9.4,https://wordpress.org/plugins/header-footer-elementor/,https://github.com/brainstormforce/header-footer-elementor,official,https://wordpress.org/plugins/header-footer-elementor/,13,0,6.5,Medium,2025-10-03,CWE-200; CWE-79; CWE-80; CWE-862; CWE-87,"elementor, elementor addons, elementor template, elementor widgets, header footer builder"
27,Advanced Custom Fields (ACF®),advanced-custom-fields,2000000,90,4.5,Editor-agnostic,2026-03-03 6:16pm GMT,6.2,6.9.4,https://www.advancedcustomfields.com,https://github.com/AdvancedCustomFields/acf,official,https://wordpress.org/plugins/advanced-custom-fields/,36,0,7.1,High,2025-10-03,CWE-200; CWE-284; CWE-434; CWE-502; CWE-79; CWE-862; CWE-94; CWE-98,"acf, custom fields, fields, meta, repeater"
28,WPS Hide Login,wps-hide-login,2000000,96,4.8,Editor-agnostic,2026-01-12 8:47am GMT,4.1,6.9.4,,https://github.com/wp-plugins/wps-hide-login,mirror,https://wordpress.org/plugins/wps-hide-login/,16,0,5.3,Medium,2024-07-15,CWE-200; CWE-287; CWE-352; CWE-863,"custom login url, login, rename, wp login, wp-login.php"
29,Essential Addons for Elementor – Popular Elementor Templates & Widgets,essential-addons-for-elementor-lite,2000000,98,4.9,Editor-agnostic,2026-03-08 6:44am GMT,5.0,6.9.4,https://essential-addons.com/,https://github.com/WPDevelopers/essential-addons-for-elementor-lite,official,https://wordpress.org/plugins/essential-addons-for-elementor-lite/,59,3,9.8,Critical,2026-02-19,CWE-20; CWE-200; CWE-22; CWE-269; CWE-287; CWE-497; CWE-502; CWE-79; CWE-80; CWE-862,"elementor, elementor addons, elementor templates, elementor widgets, elementor woocommerce"
30,Advanced Editor Tools,tinymce-advanced,2000000,90,4.5,Blocks+Classic,2025-12-08 3:02pm GMT,5.9,6.9.4,https://wordpress.org/plugins/tinymce-advanced/,https://github.com/wp-plugins/tinymce-advanced,mirror,https://wordpress.org/plugins/tinymce-advanced/,3,0,,,2014-09-08,,"block-editor, classic editor, editor, formatting, gutenberg"
31,Starter Templates – AI-Powered Templates for Elementor & Gutenberg,astra-sites,2000000,98,4.9,Blocks+Classic,2026-03-19 5:19am GMT,6.6,6.9.4,https://wpastra.com/,https://github.com/rumi55/astra-sites,official,https://wordpress.org/plugins/astra-sites/,10,0,8.8,High,2025-12-06,CWE-284; CWE-352; CWE-434; CWE-79; CWE-862; CWE-918; CWE-99,"Astra Starter Sites, block-editor, elementor, gutenberg, templates"
32,"Limit Login Attempts Reloaded – Login Security, 2FA, Brute Force Protection & Firewall",limit-login-attempts-reloaded,2000000,98,4.9,Editor-agnostic,2026-03-25 10:21am GMT,3.0,6.9.4,,https://github.com/WPChef/limit-login-attempts-reloaded,official,https://wordpress.org/plugins/limit-login-attempts-reloaded/,6,0,6.4,Medium,2024-12-21,CWE-307; CWE-79; CWE-862,"2FA, Brute Force, firewall, login security, security"
33,ElementsKit Elementor Addons – Advanced Widgets & Templates Addons for Elementor,elementskit-lite,2000000,98,4.9,Editor-agnostic,2026-03-15 4:35am GMT,6.0,7.0,https://wpmet.com/plugin/elementskit/,https://github.com/wp-plugins-kanshi/elementskit-lite,mirror,https://wordpress.org/plugins/elementskit-lite/,23,0,10.0,Critical,2026-02-23,CWE-200; CWE-284; CWE-306; CWE-79; CWE-80; CWE-862; CWE-98,"elementor addon, elementor addons, elementor widgets, header footer builder, mega menu builder"
34,MC4WP: Mailchimp for WordPress,mailchimp-for-wp,1000000,96,4.8,Editor-agnostic,2026-03-09 8:01am GMT,4.6,6.9.4,https://www.mc4wp.com/#utm_source=wp-plugin&utm_medium=mailchimp-for-wp&utm_campaign=plugins-page,https://github.com/ibericode/mailchimp-for-wordpress,official,https://wordpress.org/plugins/mailchimp-for-wp/,17,0,6.1,Medium,2024-12-27,CWE-79; CWE-80; CWE-862,"email, form, mailchimp, newsletter, subscribe"
35,Loco Translate,loco-translate,1000000,96,4.8,Editor-agnostic,2026-03-14 11:53am GMT,6.6,6.9.4,https://wordpress.org/plugins/loco-translate/,https://github.com/wp-plugins/loco-translate,mirror,https://wordpress.org/plugins/loco-translate/,4,0,4.3,Medium,2025-01-02,CWE-352; CWE-79; CWE-94,"i18n, l10n, language, multilingual, translation"
36,Disable Comments – Remove Comments & Stop Spam [Multi-Site Support],disable-comments,1000000,94,4.7,Editor-agnostic,2026-01-20 8:14am GMT,5.0,6.9.4,https://wordpress.org/plugins/disable-comments/,https://github.com/WPDevelopers/disable-comments,official,https://wordpress.org/plugins/disable-comments/,1,0,,,2018-03-19,CWE-352,"delete comments, disable comments, remove comments, spam protection, stop spam"
37,WP Super Cache,wp-super-cache,1000000,86,4.3,Editor-agnostic,2025-11-11 4:21pm GMT,6.7,6.9.4,https://wordpress.org/plugins/wp-super-cache/,https://github.com/Automattic/wp-super-cache,official,https://wordpress.org/plugins/wp-super-cache/,22,0,,,2022-10-03,CWE-116; CWE-79; CWE-94,"WP Cache, WP Super Cache, cache, caching, performance"
38,"Duplicator – Backups & Migration Plugin – Cloud Backups, Scheduled Backups, & More",duplicator,1000000,98,4.9,Editor-agnostic,2026-03-18 5:18pm GMT,5.3,6.9.4,https://duplicator.com/,,,https://wordpress.org/plugins/duplicator/,25,0,6.5,Medium,2024-12-27,CWE-200; CWE-22; CWE-306; CWE-352; CWE-425; CWE-79; CWE-862; CWE-94,"backup, cloud backup, database backup, migration, wordpress backup"
39,CookieYes – Cookie Banner for Cookie Consent (Easy to setup GDPR/CCPA Compliant Cookie Notice),cookie-law-info,1000000,96,4.8,Editor-agnostic,2026-01-29 1:15pm GMT,5.0.0,6.9.4,https://www.cookieyes.com/,https://github.com/cookieyeshq/cookie-law-info,official,https://wordpress.org/plugins/cookie-law-info/,2,0,,,2020-08-21,CWE-79,"GDPR, cookie, cookie banner, cookie consent, cookie notice"
40,Loginizer,loginizer,1000000,96,4.8,Editor-agnostic,2026-03-02 12:38pm GMT,3.0,6.9.4,https://wordpress.org/extend/plugins/loginizer/,,,https://wordpress.org/plugins/loginizer/,11,0,8.1,High,2024-11-05,CWE-287; CWE-352; CWE-79; CWE-89,"Loginizer, access, admin, login, security"
41,Better Search Replace,better-search-replace,1000000,86,4.3,Editor-agnostic,2025-12-08 5:21pm GMT,3.0.1,6.9.4,https://bettersearchreplace.com,https://github.com/deliciousbrains/better-search-replace,official,https://wordpress.org/plugins/better-search-replace/,2,0,9.8,Critical,2024-02-05,CWE-502; CWE-89,"search and replace, search replace, search replace database, update database urls, update live url"
42,File Manager,wp-file-manager,1000000,94,4.7,Editor-agnostic,2026-03-24 10:48am GMT,4.0,6.9.4,https://filemanagerpro.io/,,,https://wordpress.org/plugins/wp-file-manager/,17,1,10.0,Critical,2025-07-04,CWE-23; CWE-330; CWE-35; CWE-352; CWE-434; CWE-552; CWE-79; CWE-80; CWE-862,"elfinder, file manager, ftp, wp file manager, wp-filemanager"
43,Code Snippets,code-snippets,1000000,94,4.7,Editor-agnostic,2026-02-05 11:03am GMT,5.0,6.9.4,https://codesnippets.pro,https://github.com/codesnippetspro/code-snippets,official,https://wordpress.org/plugins/code-snippets/,9,0,8.0,High,2025-11-19,CWE-352; CWE-79; CWE-94,"code, css, multisite, php, snippets"
44,WP Fastest Cache – WordPress Cache Plugin,wp-fastest-cache,1000000,98,4.9,Editor-agnostic,2026-02-10 2:26pm GMT,5.3,6.9.4,http://wordpress.org/plugins/wp-fastest-cache/,https://github.com/wp-plugins/wp-fastest-cache,mirror,https://wordpress.org/plugins/wp-fastest-cache/,49,0,8.8,High,2025-12-12,CWE-22; CWE-352; CWE-79; CWE-862; CWE-89; CWE-918,"Optimize, cache, core web vitals, pagespeed, performance"
45,Complianz – GDPR/CCPA Cookie Consent,complianz-gdpr,1000000,96,4.8,Editor-agnostic,2026-03-16 9:11am GMT,5.9,6.9.4,https://www.wordpress.org/plugins/complianz-gdpr,https://github.com/complianz/complianz-gdpr,official,https://wordpress.org/plugins/complianz-gdpr/,11,0,7.1,High,2026-02-18,CWE-352; CWE-79; CWE-89,"GDPR, consent, cookie, cookie notice, privacy"
46,Speed Optimizer – The All-In-One Performance-Boosting Plugin,sg-cachepress,1000000,84,4.2,Editor-agnostic,2026-02-16 11:58am GMT,4.7,6.9.4,https://siteground.com,https://github.com/Rarst/sg-cachepress,official,https://wordpress.org/plugins/sg-cachepress/,4,0,9.8,Critical,2024-10-16,CWE-862,"SiteGround, caching, nginx, performance, speed"
47,SVG Support,svg-support,1000000,96,4.8,Editor-agnostic,2025-02-25 8:34am GMT,5.8,6.7.5,http://wordpress.org/plugins/svg-support/,https://github.com/benbodhi/svg-support,official,https://wordpress.org/plugins/svg-support/,6,0,6.4,Medium,2025-02-21,CWE-79,"SVG, Vector, mime type, safe svg, sanitization"
48,Custom Post Type UI,custom-post-type-ui,1000000,92,4.6,Editor-agnostic,2026-01-08 8:43pm GMT,6.6,6.9.4,https://github.com/WebDevStudios/custom-post-type-ui/,https://github.com/WebDevStudios/custom-post-type-ui,official,https://wordpress.org/plugins/custom-post-type-ui/,7,0,4.8,Medium,2025-12-13,CWE-352; CWE-79; CWE-862,"content types, custom post types, post type, taxonomy, types"
49,One Click Demo Import,one-click-demo-import,1000000,86,4.3,Editor-agnostic,2025-09-11 9:36am GMT,5.5,6.8.5,https://wordpress.org/plugins/one-click-demo-import/,https://github.com/awesomemotive/one-click-demo-import,official,https://wordpress.org/plugins/one-click-demo-import/,2,0,4.4,Medium,2024-05-09,CWE-434; CWE-502,"content, import, settings, theme options, widgets"
50,Popup Builder & Popup Maker for WordPress – OptinMonster Email Marketing and Lead Generation,optinmonster,1000000,86,4.3,Editor-agnostic,2025-11-19 4:51pm GMT,5.0,6.8.5,https://optinmonster.com,https://github.com/WPPlugins/optinmonster,mirror,https://wordpress.org/plugins/optinmonster/,8,0,8.2,High,2024-05-27,CWE-285; CWE-319; CWE-352; CWE-639; CWE-79; CWE-863,"Optin, ecommerce, marketing, popup, popups"
51,"WP-Optimize – Cache, Compress images, Minify & Clean database to boost page speed & performance",wp-optimize,1000000,96,4.8,Editor-agnostic,2026-03-25 10:42am GMT,4.9,7.0,https://teamupdraft.com/wp-optimize,https://github.com/DavidAnderson684/WP-Optimize,official,https://wordpress.org/plugins/wp-optimize/,4,0,,,2025-06-02,CWE-79,"cache, caching, image cache, minify, performance cache"
52,Spectra Gutenberg Blocks – Website Builder for the Block Editor,ultimate-addons-for-gutenberg,1000000,94,4.7,Block-only,2026-03-12 11:45am GMT,5.6,6.9.4,https://www.brainstormforce.com,https://github.com/brainstormforce/wp-spectra,official,https://wordpress.org/plugins/ultimate-addons-for-gutenberg/,31,1,7.1,High,2026-02-03,CWE-22; CWE-307; CWE-74; CWE-79; CWE-80; CWE-862; CWE-918,"block, blocks, editor, gutenberg, gutenberg blocks"
53,XML Sitemap Generator for Google,google-sitemap-generator,1000000,96,4.8,Editor-agnostic,2026-02-07 4:58am GMT,4.6,6.9.4,https://auctollo.com/,https://github.com/Auctollo/google-sitemap-generator,official,https://wordpress.org/plugins/google-sitemap-generator/,4,1,,,2025-12-16,CWE-79,"html sitemap, news sitemap, seo, video sitemap, xml sitemap"
54,ManageWP Worker,worker,1000000,92,4.6,Editor-agnostic,2026-03-18 1:39pm GMT,3.1,6.8.5,https://managewp.com,,,https://wordpress.org/plugins/worker/,1,0,,,2020-02-11,,"Manage Multiple Sites, backup, migrate, performance, security"
55,Maintenance,maintenance,1000000,90,4.5,Editor-agnostic,2026-02-05 7:35pm GMT,4.0,6.9.4,https://wpmaintenancemode.com/,https://github.com/srobbin/jquery-backstretch,official,https://wordpress.org/plugins/maintenance/,1,0,,,2021-08-23,CWE-79,"coming soon, coming soon page, maintenance, maintenance mode, maintenance page"
56,Image Optimizer – Optimize Images and Convert to WebP or AVIF,image-optimization,1000000,32,1.6,Editor-agnostic,2026-02-17 1:59pm GMT,6.6,6.9.4,https://go.elementor.com/wp-repo-description-tab-io-product-page/,,,https://wordpress.org/plugins/image-optimization/,1,1,,,2026-02-19,,"convert AVIF, convert webp, image compression, image optimization, performance"
57,Safe SVG,safe-svg,1000000,98,4.9,Editor-agnostic,2026-01-04 9:05pm GMT,6.6,6.9.4,https://wordpress.org/plugins/safe-svg/,https://github.com/10up/safe-svg,official,https://wordpress.org/plugins/safe-svg/,10,0,,,2024-11-07,CWE-674; CWE-79,"SVG, Vector, media, mime, security"
58,Smash Balloon Social Photo Feed – Easy Social Feeds Plugin,instagram-feed,1000000,98,4.9,Editor-agnostic,2026-03-12 5:15pm GMT,4.1,6.9.4,https://smashballoon.com/instagram-feed,,,https://wordpress.org/plugins/instagram-feed/,11,0,,,2025-05-28,,"Instagram, Instagram widget, instagram feed, instagram gallery, instagram photos"
59,Smush Image Optimization – Optimize Images | Compress & Lazy Load Images | Convert WebP & AVIF | Image CDN,wp-smushit,1000000,96,4.8,Editor-agnostic,2026-02-23 2:47pm GMT,6.4,6.9.4,https://wpmudev.com/project/wp-smush-pro/,https://github.com/wp-plugins-kanshi/wp-smushit,mirror,https://wordpress.org/plugins/wp-smushit/,9,0,4.3,Medium,2025-03-29,CWE-22; CWE-79; CWE-862,"compress images, convert webp, image optimization, optimize images, webp"
60,Regenerate Thumbnails,regenerate-thumbnails,1000000,92,4.6,Editor-agnostic,2025-08-20 3:56pm GMT,4.7,6.8.5,https://alex.blog/wordpress-plugins/regenerate-thumbnails/,https://github.com/automattic/regenerate-thumbnails,official,https://wordpress.org/plugins/regenerate-thumbnails/,0,0,,,,,"post thumbnail, post thumbnails, thumbnail, thumbnails"
61,EWWW Image Optimizer,ewww-image-optimizer,1000000,96,4.8,Editor-agnostic,2026-02-19 11:22pm GMT,6.6,6.9.4,https://wordpress.org/plugins/ewww-image-optimizer/,https://github.com/nosilver4u/ewww-image-optimizer,official,https://wordpress.org/plugins/ewww-image-optimizer/,11,0,4.3,Medium,2024-04-10,CWE-200; CWE-352; CWE-79,"compress, convert, lazy load, resize, webp"
62,All-In-One Security (AIOS) – Security and Firewall,all-in-one-wp-security-and-firewall,1000000,94,4.7,Editor-agnostic,2026-03-25 10:40am GMT,5.0,7.0,https://wordpress.org/plugins/all-in-one-wp-security-and-firewall/,https://github.com/wp-plugins/all-in-one-wp-security-and-firewall,mirror,https://wordpress.org/plugins/all-in-one-wp-security-and-firewall/,43,0,6.1,Medium,2024-12-28,CWE-200; CWE-22; CWE-352; CWE-552; CWE-639; CWE-79; CWE-89,"Malware Scanning, firewall, login security, security, two factor authentication"
63,Security Optimizer – The All-In-One Protection Plugin,sg-security,1000000,90,4.5,Editor-agnostic,2026-01-15 9:21am GMT,4.7,6.9.4,https://siteground.com,https://github.com/common-repository/sg-security,mirror,https://wordpress.org/plugins/sg-security/,5,1,9.8,Critical,2025-12-16,CWE-285; CWE-288; CWE-862; CWE-89,"firewall, login, malware scanner, security, web application firewall"
64,WP Multibyte Patch,wp-multibyte-patch,1000000,100,5.0,Editor-agnostic,2025-12-01 9:45pm GMT,5.2,6.9.4,https://eastcoder.com/code/wp-multibyte-patch/,https://github.com/common-repository/wp-multibyte-patch,mirror,https://wordpress.org/plugins/wp-multibyte-patch/,0,0,,,,,"Japanese, i18n, multibyte, wp-multibyte-patch"
65,Redux Framework,redux-framework,1000000,88,4.4,Editor-agnostic,2026-03-25 7:32pm GMT,5.0,7.0,https://wordpress.org/plugins/redux-framework,https://github.com/reduxframework/redux-framework,official,https://wordpress.org/plugins/redux-framework/,10,0,7.2,High,2024-07-23,CWE-200; CWE-280; CWE-434; CWE-760; CWE-863,"admin, options, options framework, plugin options, theme options"
66,Hostinger Reach – AI-Powered Email Marketing for WordPress,hostinger-reach,1000000,100,5.0,Editor-agnostic,2026-03-24 8:31am GMT,6.0,6.9.4,https://hostinger.com,https://github.com/wp-plugins-kanshi/hostinger-reach,mirror,https://wordpress.org/plugins/hostinger-reach/,0,0,,,,,"Email Marketing, lead generation, marketing, newsletter, subscription"
67,Imagify Image Optimization – Optimize Images | Compress Images | Convert WebP | Convert AVIF,imagify,1000000,86,4.3,Editor-agnostic,2026-02-03 2:34pm GMT,5.3,6.9.4,https://wordpress.org/plugins/imagify/,https://github.com/wp-media/imagify-plugin,official,https://wordpress.org/plugins/imagify/,0,0,,,,,"compress images, convert AVIF, convert webp, image optimization, optimize images"
68,Cookie Notice & Compliance for GDPR / CCPA,cookie-notice,900000,96,4.8,Editor-agnostic,2026-03-04 1:02am GMT,4.9.6,6.9.4,https://cookie-compliance.co/,,,https://wordpress.org/plugins/cookie-notice/,6,1,6.5,Medium,2025-12-09,CWE-79,"CCPA, GDPR, consent, cookies, privacy"
69,W3 Total Cache,w3-total-cache,900000,88,4.4,Editor-agnostic,2026-03-25 7:49pm GMT,5.3,6.9.4,https://www.boldgrid.com/totalcache/,,,https://wordpress.org/plugins/w3-total-cache/,46,0,8.5,High,2025-01-14,CWE-200; CWE-352; CWE-74; CWE-79; CWE-862,"Optimize, caching, cdn, pagespeed, performance"
70,Autoptimize,autoptimize,900000,94,4.7,Editor-agnostic,2026-03-14 12:44pm GMT,5.3,6.9.4,https://autoptimize.com/pro/,https://github.com/futtta/autoptimize,official,https://wordpress.org/plugins/autoptimize/,14,0,6.4,Medium,2025-12-03,CWE-362; CWE-425; CWE-434; CWE-79,"Optimize, core web vitals, images, pagespeed, performance"
71,Translate WordPress with GTranslate,gtranslate,900000,98,4.9,Editor-agnostic,2026-01-11 2:35pm GMT,2.8.1,6.9.4,https://gtranslate.io/?xyz=998,,,https://wordpress.org/plugins/gtranslate/,11,0,5.0,Medium,2023-09-25,CWE-116; CWE-352; CWE-79,"language, multilingual, translate, translation, translator"
